anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_iptu,valor_mt2
Augusto Torres,56,150,,Setor Noroeste,1,Brasília,2564743858,28022-F-DF,,,CLNW 8/9 Lote C,[1],,2,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-setor-noroeste-bairros-brasilia-com-garagem-56m2-venda-RS850000-id-2564743858/,680,850000,2100,
Daniel Ribas,97,173,,Aguas Claras,3,Brasília,2568739149,,,,Quadra 209,[2],,3,[1],https://www.vivareal.com.br/imovel/apartamento-3-quartos-aguas-claras-bairros-brasilia-com-garagem-97m2-venda-RS760000-id-2568739149/,844,760000,0,
Mauro Sergio,800,,,Lago Sul,4,Brasília,2556679479,,,,Condomínio Solar de Brasília,[3],,4,[3],https://www.vivareal.com.br/imovel/apartamento-4-quartos-lago-sul-bairros-brasilia-com-garagem-800m2-venda-RS2990000-id-2556679479/,,2990000,,
Eduardo Brito de Morais,54,54,,Guara II,2,Brasília,2569217288,,,,QE 56 Conjunto I,[0],,2,[1],https://www.vivareal.com.br/imovel/apartamento-2-quartos-guara-ii-bairros-brasilia-54m2-venda-RS200000-id-2569217288/,0,200000,0,
Douglas Cardoso Balzani,55,85,,Norte,2,Brasília,2561719326,22957-F-DF,,,Avenida Pau Brasil,[1],,2,[1],https://www.vivareal.com.br/imovel/apartamento-2-quartos-norte-bairros-brasilia-com-garagem-55m2-venda-RS439000-id-2561719326/,358,439000,802,
PAULO ERNESTO HOLANDA,68,128,,Sul,2,Brasília,2569328319,,,,Avenida Pau Brasil,[2],,2,[1],https://www.vivareal.com.br/imovel/apartamento-2-quartos-sul-bairros-brasilia-com-garagem-68m2-venda-RS580000-id-2569328319/,435,580000,0,
JACKSON & JACKSON,84,,,Sul,3,Brasília,2570041711,,,,Quadra 207,[1],,3,[1],https://www.vivareal.com.br/imovel/apartamento-3-quartos-sul-bairros-brasilia-com-garagem-84m2-venda-RS697000-id-2570041711/,0,697000,0,
Divina F. Guedes,45,45,,Condominio Residencial Santa Maria,1,Brasília,2564350978,,,,Rua 600 Lote 601,[1],,2,[0],https://www.vivareal.com.br/imovel/apartamento-2-quartos-condominio-residencial-santa-maria-bairros-brasilia-com-garagem-45m2-venda-RS58000-id-2564350978/,260,58000,340,
New Home Imobiliária,48,48,,Asa Norte,1,Brasília,2569076220,28276-J-DF,,,SQN 210 Bloco A,[0],,1,[0],https://www.vivareal.com.br/imovel/apartamento-1-quartos-asa-norte-bairros-brasilia-48m2-venda-RS595000-id-2569076220/,421,595000,0,
Daniel Ribas,104,167,,Norte,2,Brasília,2563513934,,,,Rua 26,[1],,3,[1],https://www.vivareal.com.br/imovel/apartamento-3-quartos-norte-bairros-brasilia-com-garagem-104m2-venda-RS780000-id-2563513934/,947,780000,124,
Ronaldo Araruna Escritório Imobiliário,58,58,,Aguas Claras,2,Brasília,2564505273,,,,Alameda Gravatá Quadra 301 Conjunto 05,[1],,2,[1],https://www.vivareal.com.br/imovel/apartamento-2-quartos-aguas-claras-bairros-brasilia-com-garagem-58m2-venda-RS385000-id-2564505273/,503,385000,928,
