anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
AO CUBO IMOBILIARIA ,,,2022-06-17,Pinheiros,,São Paulo,2966319094,,,,"Rua Artur de Azevedo, 1781 - Pinheiros - São Paulo - SP",,,,,https://www.wimoveis.com.br/propriedades/apartamento-pinheiros-edge-pinheiros-2966319094.html,,5.209.920,
AO CUBO IMOBILIARIA ,,,2022-06-09,Pinheiros,,São Paulo,2966105052,,,,"Rua Cristiano Viana, n° 295 ",,,,,https://www.wimoveis.com.br/propriedades/apartamento-pinheiros-clari-2966105052.html,,3.387.700,
PeB imóveis,42,42,2022-06-07,Águas Claras,1,Brasília,2964648386,24667,,,Rua 7 Norte Rua 7 Norte,1,1,1,,https://www.wimoveis.com.br/propriedades/apartamento-1-quarto-max-home-mall-aguas-claras-2964648386.html,363,395.000,
Cristina Salles Corretora de Imóveis,60,60,2022-05-25,Águas Claras,2,Brasília,2963787435,,,,"Rua das Pitangueiras, nº 11 15°",1,15,2,1,https://www.wimoveis.com.br/propriedades/apartamento-de-2-quartos-proximo-ao-metro-com-lazer-2963787435.html,585,510.000,
Christiano Leite,34,34,2022-06-30,Águas Claras,1,Brasília,2963110929,24557,,,avenida parque aguas claras 2675,1,10,1,1,https://www.wimoveis.com.br/propriedades/apartamento-de-01-quarto-frente-ao-parque-2963110929.html,,250.000,
Paulo Bites,162,162,2022-02-15,Águas Claras,5,Brasília,2962570065,,,,Av ,3,1,,4,https://www.wimoveis.com.br/propriedades/4-suites-3-vagas-mans-es-paradiso-lancamento-frente-2962570065.html,,1.667.556,
Rilley Erick - Corretor de Imóveis,92,171,2022-07-01,Águas Claras,2,Brasília,2966305164,16191,,,Rua Babaçu Lote 3 Res. Art Life Design,2,7,3,1,https://www.wimoveis.com.br/propriedades/art-life-design-3-quartos-escritorio:-visite-hoje-2966305164.html,485,855.000,
TADEU SANTIAGO CONSULTOR IMOBILIÁRIO CRECI: 9056,132,132,2022-06-10,Águas Claras,3,Brasília,2966137674,9056/DF,,,Quadra 104,1,10,4,1,https://www.wimoveis.com.br/propriedades/otimo-apartamento-localizado-na-quadra-104-aguas-2966137674.html,830,830.000,
Hjonatan Lima Corretor de Imóveis,103,103,2022-07-02,Águas Claras,4,Brasília,2956076057,23049,,,PENÍNSULA,2,1,3,2,https://www.wimoveis.com.br/propriedades/aguas-claras-residencial-peninsula-3-quartos-103-2956076057.html,,970.000,
PILOTIS IMOBILIÁRIA,80,132,2022-07-02,Águas Claras,2,Brasília,2966630677,22309JDF,,,Rua 09 Note ,1,,3,1,https://www.wimoveis.com.br/propriedades/excelente-apartamento-em-aguas-claras!-2966630677.html,785,730.000,
PILOTIS IMOBILIÁRIA,175,175,2022-07-02,Águas Claras,5,Brasília,2966325412,22309JDF,,,Rua 28 ,3,,4,2,https://www.wimoveis.com.br/propriedades/excelente-oportunidade-em-aguas-claras!-2966325412.html,1100,1.290.000,
Fernando Nogueira,34,49,2022-06-23,Águas Claras,,Brasília,2960209999,,,,Avenida Jacarandá,1,7,1,1,https://www.wimoveis.com.br/propriedades/residencial-you-life-style-34-m-aguas-claras-2960209999.html,292,271.000,
L IMÓVEIS,38,38,2022-06-17,Águas Claras,1,Brasília,2966371616,11587,,,Rua 36 norte,,11,,1,https://www.wimoveis.com.br/propriedades/res.-moove-lindo-apartamento!-2966371616.html,245,300.000,
Daltro Corretor de Imoveis,57,57,2022-06-28,Águas Claras,2,Brasília,2965225989,18584-DF,,,RUA 36 NORTE TOP LIFE AGUAS CLARAS,2,10,2,1,https://www.wimoveis.com.br/propriedades/2-quartos-aguas-claras-top-life-lazer-completo-2965225989.html,,470.000,
Jose Otavio Castro Morais ,98,98,2022-01-21,Águas Claras,3,Brasília,2960674818,Creci 25937/DF,,,QUADRA 209,2,11,3,2,https://www.wimoveis.com.br/propriedades/aguas-claras-3-quartos-2960674818.html,0,790.000,
ATALAIA Empreendimentos Imobiliários,348,348,2022-07-02,Águas Claras,6,Brasília,2966455007,17841,,,Quadra 204 3,4,,4,4,https://www.wimoveis.com.br/propriedades/apartamento-a-venda-4-suites-residencial-quattro-2966455007.html,2800,3.600.000,
Real Capital Negócios Imobiliários,34,34,2022-06-20,Águas Claras,1,Brasília,2965776853,,,," R. Copaíba, lote 01, DF Plaza",1,5,1,1,https://www.wimoveis.com.br/propriedades/apartamento-1-quarto-com-armarios-planejados-proximo-2965776853.html,350,389.000,
AO CUBO IMOBILIARIA ,,,2022-06-14,Vila Ipojuca,,São Paulo,2966236789,,,,"Rua Mota Pais, 394 - Alto da Lapa - São Paulo - SP",,,,,https://www.wimoveis.com.br/propriedades/apartamento-lapa-momento-mota-pais-2966236789.html,,1.147.842,
AO CUBO IMOBILIARIA ,,,2022-06-17,Pinheiros,,São Paulo,2966312385,,,,Rua Maria Carolina 692,,,,,https://www.wimoveis.com.br/propriedades/apartamento-e-studio-pinheiros-ventura-pinheiros-2966312385.html,,558.400,
AO CUBO IMOBILIARIA ,,,2022-06-13,Vila Romana,,São Paulo,2966100909,,,,"Catão, 876 ",,,,,https://www.wimoveis.com.br/propriedades/apartamento-vila-romana-panorama-2966100909.html,,2.312.907,
