anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
NERO IMÓVEIS,125,125,2022-06-28,Asa Sul,3,Brasília,2965926025,26203,,,SHIGS 714 0,,,3,1,/propriedades/excelente-apartamento-de-3-quartos-1-suite-a-venda-2965926025.html,900,950.000,
THAIS IMOBILIÁRIA VENDAS,55,80,2022-07-01,Asa Sul,1,Brasília,2962003029,,,,Quadra CRS 513 0,,,2,,/propriedades/apartamento-de-2-quartos-no-ed.-boulevard-crs-513-2962003029.html,393,350.000,
Coelho Imóveis Consultoria Prime,42,42,2022-06-27,Asa Sul,1,Brasília,2966615111,CJ 25138,,,SHS QUADRA 6,,10,1,1,/propriedades/brasil-xxi-flat-mobiliado-nascente-e-vista-livre-2966615111.html,1000,340.000,
Coelho Imóveis Consultoria Prime,49,49,2022-07-02,Asa Sul,1,Brasília,2966771442,CJ 25138,,,SCES TRECHO 4,1,1,1,1,/propriedades/lindo-apartamento-1-quarto-no-lago-sul-brisas-do-2966771442.html,,690.000,
Coelho Imóveis Consultoria Prime,64,64,2022-06-04,Asa Sul,1,Brasília,2965969386,CJ 25138,,,SQS 415,,10,2,,/propriedades/sqs-415-apartamento-2-quartos-vazado-e-reformado-na-2965969386.html,550,590.000,
THAIS IMOBILIÁRIA VENDAS,138,227,2022-07-01,Asa Sul,4,Brasília,2966591225,,,,Quadra SQS 112 Bloco J 0,2,,3,1,/propriedades/apartamento-com-3-dormitorios-a-venda-138-m-sup2--por-2966591225.html,1000,1.800.000,
MESTRA IMOBILIÁRIA,136,136,2022-06-29,Asa Sul,1,Brasília,2965150037,25365,,,QUADRA SQS 109,1,,3,1,/propriedades/apartamento-3-quartos-na-sqs-109-asa-sul!-2965150037.html,,1.550.000,
NERO IMÓVEIS,139,139,2022-06-24,Asa Sul,3,Brasília,2966534743,26203,,,SQS 116 0,2,,4,1,/propriedades/apartamento-a-venda-4-quartos-1-suite-2-vagas-asa-2966534743.html,1520,1.980.000,
NERO IMÓVEIS,120,120,2022-06-22,Asa Sul,3,Brasília,2965925968,26203,,,SQS 213 0,1,,3,1,/propriedades/apartamento-a-venda-3-quartos-1-suite-1-vaga-asa-2965925968.html,1000,1.470.000,
IMOBILIÁRIA  PLANALTO LTDA,170,262,2022-06-22,Asa Sul,4,Brasília,2953146585,J- 120,,,SQS 309 BLOCO K 6º ANDAR,2,10,5,1,/propriedades/vende-se-apto-excelente-sem-mobilia-sqs-309-5-qtos-2953146585.html,1200,1.790.000,
Victor Guirelli ,78,78,2022-06-22,Asa Sul,2,Brasília,2966488883,Creci 25937/DF,,,SQS 416,,20,3,,/propriedades/03-quartos-sqs-416-asa-sul-vazado-vista-livre-2966488883.html,,715.000,
Vivi Nery,112,112,2022-06-23,Asa Sul,2,Brasília,2963268171,27514,,,SQS 408,,30,3,,/propriedades/sqs-408-lindo-reformado-nascente!-2963268171.html,460,780.000,
Moni Netimóveis,98,98,2022-05-18,Asa Sul,2,Brasília,2961842104,17097,,,"SQS 411, apartamento vazado, com vaga de garagem.",1,40,3,1,/propriedades/sqs-411-apartamento-vazado-com-vaga-de-garagem.-2961842104.html,777,970.000,
THAIS IMOBILIÁRIA VENDAS,68,89,2022-07-01,Asa Sul,2,Brasília,2955614508,,,,Quadra SQS 414 3,,,2,1,/propriedades/quadra-sqs-414-bloco-l-asa-sul-df-proximo-ao-2955614508.html,461,575.000,
FERNANDO VASCONCELOS,107,107,2022-06-12,Asa Sul,2,Brasília,2939449111,9615,,,SQS 113,1,44,2,,/propriedades/asa-sul-sqs-113-02-quartos-01-vaga-cobertura-coletiva-2939449111.html,1129,1.195.000,
Coelho Imóveis Consultoria Prime,136,148,2022-06-06,Asa Sul,3,Brasília,2966019840,CJ 25138,,,SQS 109,1,20,3,1,/propriedades/sqs-109-excelente-apartamento-3-quartos-com-armarios-2966019840.html,901,1.550.000,
Bordalo Imob,48,48,2022-07-02,Asa Sul,1,Brasília,2965406986,23764,,,Quadra SQS 415,,,2,,/propriedades/asa-sul-sqs-415-apartamento-reformado-c-48-m-sup2--2965406986.html,512,520.000,
Elenio - 1ML | 1 Million Listings - Imóveis ⋄ Interiores ⋄ SMART Home,125,125,2022-06-30,Asa Sul,3,Brasília,2965760836,,,,Quadra SHIGS 714 Asa Sul 3 Quartos 1 Suíte Vaga Reformado Nascente,,29,3,1,/propriedades/apto-shigs-714-asa-sul-3-quartos-1-suite-vaga-2965760836.html,550,1.150.000,
