anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
Evangelista,"63,00 m²"," 78,00 m²",03/07/2022,NORTE,,ÁGUAS CLARAS,564827,27230,,,Quadra 101,,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-quadra-101-564827,,479.000,7.603
IKA Empreendimentos Imobiliários,"54,20 m²"," 112,00 m²",03/07/2022,AREAL,,ÁGUAS CLARAS,502389,6765,,,QS 5 Rua 310,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-areal-aguas-claras-df-qs-5-rua-310-502389,,320.000,5.904
IMOBZAP,"70,00 m²"," 127,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,570433,15822,,,Avenida das Araucárias,2,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-sul-aguas-claras-df-avenida-das-araucarias-570433,608,649.900,9.284
Coemi Imóveis ,"132,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,525193,3545,,,Quadra 104,1,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-norte-aguas-claras-df-quadra-104-525193,867,910.000,6.893
Thaís Imobiliaria,"48,00 m²"," 79,00 m²",03/07/2022,NORTE,,ÁGUAS CLARAS,389760,CJ1704,,,Avenida Parque Águas Claras,1,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-avenida-parque-aguas-claras-389760,334,410.000,8.541
Isabela Farias,"127,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,505714,26998,,,Quadra 209,2,,3,3,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-quadra-209-505714,,1.050.000,8.267
Grupo Capital,"81,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,529894,25662,,,Rua 5,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-rua-5-529894,450,600.000,7.407
DF NEGÓCIOS,"37,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,572457,21620,,,Avenida das Araucárias,1,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-sul-aguas-claras-df-avenida-das-araucarias-572457,340,330.000,8.918
Soma Imóveis,"56,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,478548,26903,,,Rua 30,1,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-rua-30-478548,,430.000,7.678
Renato Nogueira,"69,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,511864,6845,,,Rua 17,1,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-rua-17-511864,513,520.000,7.536
Illuminar Consultoria Imobiliária,"30,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,567603,26177,,,Rua DAS CARNAUBAS,1,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-norte-aguas-claras-df-rua-das-carnaubas-567603,450,265.000,8.833
SSS Imóveis,"165,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,485150,9194,,,Rua DAS PAINEIRAS,3,,4,4,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-norte-aguas-claras-df-rua-das-paineiras-485150,1.370,1.370.000,8.303
Coelho Imóveis Consultoria Prime,"180,00 m²"," 216,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,561972,25138,,,Quadra 204,2,,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-204-561972,1.100,1.340.000,7.444
Daleprane Inteligência Imobiliária,"120,00 m²"," 120,00 m²",03/07/2022,NORTE,,ÁGUAS CLARAS,531851,25937,,,Rua 14,1,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-norte-aguas-claras-df-rua-14-531851,900,830.000,6.916
Ever Negócios Imobiliários,"49,00 m²"," 61,00 m²",03/07/2022,NORTE,,ÁGUAS CLARAS,439798,10816,,,Rua DAS PITANGUEIRAS,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-rua-das-pitangueiras-439798,,470.000,9.591
Fábio ,"75,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,558277,14645,,,Quadra 206,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-sul-aguas-claras-df-quadra-206-558277,670,685.000,9.133
Benini Imóveis  ,"112,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,553895,25433,,,Avenida Parque Águas Claras,2,,4,2,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-avenida-parque-aguas-claras-553895,900,978.000,8.732
Rodrigues Empreendimentos Imobiliários ,"86,00 m²"," 86,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,561128,18538,,,Rua 36,,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-rua-36-561128,730,650.000,7.558
Antônio Filho Imobiliária,"64,00 m²"," 64,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,473279,23921,,,Rua 31,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-sul-aguas-claras-df-rua-31-473279,475,650.000,10.156
